City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Chinhoyi,ZW,-17.3667,30.2,70.56,39,0,10.25,clear sky
187,Hay River,CA,60.8156,-115.7999,60.78,77,75,5.75,thunderstorm
188,Touros,BR,-5.1989,-35.4608,72.5,79,3,12.68,clear sky
189,Dauphin,CA,51.1494,-100.0502,60.94,67,90,9.22,light rain
190,Kjollefjord,NO,70.9457,27.3465,46.45,92,100,4.76,overcast clouds
191,Bluff,NZ,-46.6,168.3333,57.79,57,100,15.17,light rain
192,Akyab,MM,20.15,92.9,82.6,81,99,20.98,overcast clouds
193,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.11,75,47,5.86,scattered clouds
194,Kargasok,RU,59.0556,80.8572,66.27,52,1,4.81,clear sky
195,Pedernales,DO,18.0384,-71.744,80.73,68,5,2.37,clear sky
196,Samarai,PG,-10.6167,150.6667,79.16,70,93,12.97,light rain
197,Bima,ID,-8.4667,118.7167,90.77,50,99,3.51,overcast clouds
198,Igrim,RU,63.1906,64.4162,48.51,62,97,14.32,overcast clouds
199,Salair,RU,54.2312,85.7972,75.2,36,2,4.68,clear sky
200,Kayerkan,RU,69.3497,87.7602,58.8,55,99,21.25,overcast clouds
201,Luena,AO,-11.7833,19.9167,69.3,31,40,1.16,scattered clouds
202,Esperance,AU,-33.8667,121.9,69.64,43,0,3.65,clear sky
203,Tenenkou,ML,14.4572,-4.9169,80.02,71,94,7.87,overcast clouds
204,Noumea,NC,-22.2763,166.4572,75.18,79,41,12.41,scattered clouds
205,Neuquen,AR,-38.9516,-68.0591,53.49,62,75,5.75,broken clouds
206,Flinders,AU,-34.5833,150.8552,64.2,55,6,18.61,clear sky
207,Monrovia,LR,6.3005,-10.7969,75.11,86,79,2.75,moderate rain
208,La Rioja,ES,42.25,-2.5,60.48,52,93,6.04,overcast clouds
209,East London,ZA,-33.0153,27.9116,58.14,72,0,13.8,clear sky
210,Harrisonville,US,38.6533,-94.3488,69.39,93,1,0.0,clear sky
211,Teguise,ES,29.0605,-13.564,70.02,83,20,1.14,few clouds
212,Yulara,AU,-25.2406,130.9889,71.44,16,0,17.27,clear sky
213,Eregli,TR,37.5133,34.0467,68.61,30,5,4.59,clear sky
214,Grindavik,IS,63.8424,-22.4338,50.47,87,90,11.5,overcast clouds
215,Raga,SS,8.4596,25.678,71.73,92,82,0.16,broken clouds
216,Yanam,IN,16.7333,82.2167,81.0,94,100,8.28,heavy intensity rain
217,Dunedin,NZ,-45.8742,170.5036,55.65,52,97,12.57,overcast clouds
218,Bredasdorp,ZA,-34.5322,20.0403,43.92,87,70,4.61,broken clouds
219,Moa,CU,20.6569,-74.9403,79.12,84,66,6.33,broken clouds
220,Caucaia,BR,-3.7361,-38.6531,79.03,76,75,11.5,broken clouds
221,Mahajanga,MG,-15.7167,46.3167,78.82,50,0,13.8,clear sky
222,Wanning,CN,18.8003,110.3967,87.39,66,61,6.2,broken clouds
223,Singapore,SG,1.2897,103.8501,91.31,62,75,8.05,broken clouds
224,Vostok,RU,46.4856,135.8833,73.92,39,0,3.65,clear sky
225,Ucluelet,CA,48.9329,-125.5528,60.04,89,73,4.94,broken clouds
226,Codrington,AU,-38.2667,141.9667,56.1,64,21,13.96,few clouds
227,Kasempa,ZM,-13.4584,25.8338,72.16,28,3,10.09,clear sky
228,Yuzhno-Kurilsk,RU,44.0306,145.8556,63.46,65,4,3.96,clear sky
229,Fonte Boa,BR,-2.4959,-66.2662,70.81,99,100,2.82,overcast clouds
230,Lagos,NG,6.5833,3.75,75.52,96,100,3.33,moderate rain
231,Mount Gambier,AU,-37.8333,140.7667,58.91,55,9,17.27,clear sky
232,Yinchuan,CN,38.4681,106.2731,72.34,38,0,3.8,clear sky
233,Ajdabiya,LY,30.7554,20.2263,82.15,43,4,5.66,clear sky
234,Torbay,CA,47.6666,-52.7314,51.58,87,90,8.05,overcast clouds
235,Tupik,RU,54.4253,119.9327,54.23,81,100,4.25,overcast clouds
236,Santa Isabel,BR,-23.3156,-46.2214,67.78,73,0,2.91,clear sky
237,Bani Walid,LY,31.7566,13.9942,75.79,86,3,7.34,clear sky
238,Asau,RO,46.4333,26.4,51.76,53,1,2.04,clear sky
239,San Quintin,MX,30.4833,-115.95,72.14,81,45,3.09,scattered clouds
240,Bathsheba,BB,13.2167,-59.5167,75.81,94,20,3.44,few clouds
241,Port Blair,IN,11.6667,92.75,84.34,74,75,16.15,broken clouds
242,Coro,VE,11.4045,-69.6734,78.82,88,89,10.56,overcast clouds
