City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Vestmannaeyjar,IS,2021-09-05 20-05-12,63.4427,-20.2734,52.2,75,24,12.8
113,Beringovskiy,RU,2021-09-05 20-05-12,63.05,179.3167,43.12,73,100,6.49
114,Port Augusta,AU,2021-09-05 20-05-13,-32.5,137.7667,44.71,88,0,4.63
115,Ponta Do Sol,PT,2021-09-05 20-05-13,32.6667,-17.1,77.0,83,95,8.48
116,Bundaberg,AU,2021-09-05 20-05-13,-24.85,152.35,56.21,70,18,1.99
117,Baruun-Urt,MN,2021-09-05 20-05-14,46.6806,113.2792,41.58,82,8,4.34
118,Russellville,US,2021-09-05 20-00-48,35.2784,-93.1338,85.15,65,75,0.0
119,Nanortalik,GL,2021-09-05 20-05-14,60.1432,-45.2371,42.76,75,74,7.87
120,Mendi,PG,2021-09-05 20-05-14,-6.1761,143.6513,55.49,99,98,0.87
121,New Norfolk,AU,2021-09-05 20-05-15,-42.7826,147.0587,45.91,71,8,8.01
122,Bandarbeyla,SO,2021-09-05 20-05-15,9.4942,50.8122,77.2,80,89,28.88
123,Pacific Grove,US,2021-09-05 20-03-52,36.6177,-121.9166,97.61,75,1,3.0
124,Saint Anthony,US,2021-09-05 20-05-15,45.0205,-93.218,79.86,47,1,5.01
125,Elko,US,2021-09-05 20-05-16,41.0002,-115.5012,86.02,4,0,4.0
126,Jalalpur Pirwala,PK,2021-09-05 20-05-16,29.5069,71.2192,91.27,44,0,7.16
127,Warrenton,ZA,2021-09-05 20-05-16,-28.114,24.8475,63.9,21,100,8.14
128,Bredasdorp,ZA,2021-09-05 20-05-17,-34.5322,20.0403,51.28,53,100,11.14
129,Castro,BR,2021-09-05 20-05-17,-24.7911,-50.0119,79.25,41,31,5.66
130,Atambua,ID,2021-09-05 20-05-17,-9.1061,124.8925,71.04,83,100,4.27
131,Tuatapere,NZ,2021-09-05 20-05-18,-46.1333,167.6833,53.82,69,100,10.6
132,Arraial Do Cabo,BR,2021-09-05 20-05-18,-22.9661,-42.0278,73.26,83,75,3.44
133,Metu,ET,2021-09-05 20-05-18,8.3,35.5833,58.24,98,100,2.66
134,Phan Thiet,VN,2021-09-05 20-05-18,10.9333,108.1,76.19,88,100,3.94
135,Daru,PG,2021-09-05 20-05-19,-9.0763,143.2092,77.22,83,100,16.71
136,Riberalta,BO,2021-09-05 20-05-19,-10.9833,-66.1,90.16,48,93,5.82
137,Overyata,RU,2021-09-05 20-05-19,58.0868,55.8709,44.73,89,97,8.7
138,Port Hedland,AU,2021-09-05 20-05-20,-20.3167,118.5667,73.45,18,0,17.27
139,Misawa,JP,2021-09-05 20-05-20,40.6836,141.3597,61.7,77,90,4.94
140,Port Elizabeth,ZA,2021-09-05 20-03-19,-33.918,25.5701,59.09,79,16,13.09
141,Saldanha,ZA,2021-09-05 20-05-20,-33.0117,17.9442,55.71,51,99,12.35
142,Hualmay,PE,2021-09-05 20-05-21,-11.0964,-77.6139,65.48,75,60,9.04
143,Thompson,CA,2021-09-05 20-01-44,55.7435,-97.8558,67.39,46,60,1.03
144,Tautira,PF,2021-09-05 20-05-21,-17.7333,-149.15,80.62,72,36,12.37
145,Kysyl-Syr,RU,2021-09-05 20-05-21,63.8986,122.7617,35.47,75,6,0.58
146,Flinders,AU,2021-09-05 20-05-22,-34.5833,150.8552,49.21,71,4,5.01
147,Kutum,SD,2021-09-05 20-05-22,14.2,24.6667,72.63,69,100,6.06
148,Laviana,ES,2021-09-05 20-05-22,43.2333,-5.5333,73.71,42,100,5.82
149,Moree,AU,2021-09-05 20-05-22,-29.4667,149.85,40.6,92,0,7.65
150,Syava,RU,2021-09-05 20-05-23,58.0146,46.3222,37.04,96,51,4.54
151,Geraldton,AU,2021-09-05 20-05-23,-28.7667,114.6,54.01,37,0,17.27
152,Bathsheba,BB,2021-09-05 20-05-24,13.2167,-59.5167,86.61,70,40,10.36
153,Dingle,PH,2021-09-05 20-05-24,10.9995,122.6711,75.42,90,100,1.48
154,Cherskiy,RU,2021-09-05 20-05-24,68.75,161.3,31.51,85,100,14.52
155,Shimoda,JP,2021-09-05 20-05-24,34.6667,138.95,73.51,88,100,14.61
156,Quartucciu,IT,2021-09-05 20-05-25,39.2519,9.1794,76.87,70,23,4.61
157,East London,ZA,2021-09-05 20-05-25,-33.0153,27.9116,64.71,72,100,8.77
158,Pangnirtung,CA,2021-09-05 20-05-25,66.1451,-65.7125,46.8,60,39,3.78
